ID|Tweet|Subtask_A
|user en gzel uyuyan insan dl jeon jungkook'a gidiyor|OTHER
|user mekan cennet olsun sayglar sayn avukatmz iyi gnler dilerim|OTHER
|kzlar aranzda kas yn beylere denler olduunu gryorum yapmayn allah akna|OTHER
|biraz ders alaym tembellik ve uyku dmanmzdr|OTHER
|user trezeguet yerine el sharawy daha iyi olmaz m|OTHER
|user bence de olmas gerekiyor hatta meslek lisesine n hazrlk olarak ortaokulda bile raklk tarznda eitimler verilip temeli hazrlanmaldr lise ana gelen bir ocuk iin bir ok konuda vakit gemi oluyor o nedenle de meslek liselerinde istenilen performans yakalanamyor|OTHER
|mutlu gorunumlu ama daima mutsuz olanlar burdami mutlu olun olmaya calisin sizi mutlu edecek seyler yapin cok dusunurseniz mutsuz olursunuz hayati akisina birakin zaten olacak birsey olacaksa birgun elbet olur siz yinede mutlu olun|OTHER
|100 liraya tras oldum arkadam diyo ki ne kesiyo o kurban m kesiyo agshsn|OTHER
|var olan ancak dnld kadaryla vardr hannah arendt|OTHER
|buralara deil yaz gn kn bile kar yamyor|OTHER
|prodktivite arz cazibesi tolerans kolac tomruklama idtaacom500tlbonus|OTHER
|user muavinlerini ara bi cikar bozuk olur yle bide tecavuz olay oldu ya ondan biraz millet uzak duruyo ama metronun yolcudan yana sikintisi yok bu arada zaten|OTHER
|yalnz bunlar harabe bir yerdeler ne ileri var orada zemedim neresi oras siyahbeyazak asfer|OTHER
|"bundan sonra katiyyen arkadalarma ""dar kalm"" cmlesini kurmayacam"|OTHER
|araci ekurisinin en kotu tayi bile olsa bursa da bu gruplara geilmez smail dinar hep kendi calistirmis ve biniyor count on me kazanir kisacasi galoplari da muthis|OTHER
|user 200 bin euro ya deportivo da oynuyordu imdi 2 5 milyon euro alyor|OTHER
|k odu evvel der mauka ndan ka emi gr kim yanmadan yandrmad pervneyi gaybi (ak atei evvela der mumu yakar sonra pervanerler ondan yanar yani gnlne ate dp yanmak nasip olan ey falanca bil ki seni yakan senden evvel yand)|OTHER
|user bundan 20 yl sonrayaptklarndan cok yapmadgn eylerden pimanlk duyacaksn|OTHER
|"k ile lmeden toprak olanlar cnm ynus (ks) gibi cnnda canne bulanlardr ""ekere kldum bugn pinhnum cn virben buldum ol cnnum"""|OTHER
|user ckss birka kere yapman lazm aslnda bi tane merhem vard adn hatrlamyorum o hemen geiriyo ya|OTHER
|affetmek ve unutmak iyi insanlarn intikamdr|OTHER
|user user user elestirebilirsin beenmeye bilirsin siyasi grn sana ama dikkat et akp deil ak parti dir|OTHER
|user akta yle biey olsa gerek|OTHER
|iki gzel sze yaplan hatay unutma kerizliimden nasl kurtulabilirim|OTHER
|user bunu yapan birine 200 tl vetirim|OTHER
|benden baka herkese iyi geceler|OTHER
|user user yakn yanl snrn br taraf pasaportla geiliyor|OTHER
|2 yl nce hayatmn akn bulmuta kaybetmi gibiyim|OTHER
|ben boaym demek oluyor ki burlarla ilgili byle istatistiklere gvenmeyin|OTHER
|user vatan severligin lusnde belirtseler ona gre davranllsa|OTHER
|user milliyeti geinip mafyann ve derin devletin nne koydular bu ehri ve lkeyi bu ehir girdap|OTHER
|user user user user user user gol atacak forvet yok forvet kim gol atacak ben anlamyorum|OTHER
|fedakarlk cesaret ve inan o gn onlar orada olduu iin bugn bizler buradayz! bata ulu nder mustafa kemal atatrk olmak zere vatan iin gzn krpmadan cann ortaya koyan btn ehitlerimizin ruhlar ad olsun anakkalegeilmez|OTHER
|user nasl olsa lnecek ama allah son nefeste iman selameti nasip eylesin ne diyelim|OTHER
|user yle bir mutlulukla izliyorum ki her konuman byle bilgili mantkl bir insann konuabilmesi bile artk mutlu olmamza yetiyor umudumuzu getirdin lkemize daha cb olmadan huzuru getirmeye baladn ok seviliyorsun ok|OTHER
|cool grncem diye kanser bile olursunuz|OTHER
|user ok zor nce helallik almanz lazm|OTHER
|hepimizin psikolojisi bozuk ok azmz bunun farknda|OTHER
|iyi aksamlar sevgili arkadaslar k maras yasim 36 kaliteli ve seviyeli ve unutulmaz anlar yasamak isterseniz ben buradayim evli ciftler tek bayan veya pasif gayler 853 442 82 63|OTHER
|davutoluakla diyorsunuz ama yaayan ller mezardaki llerden daha gizemlidirler konuamazlar arkeoloklarda aresiz kalyor yaayanlara kar |OTHER
|sizi favlamakdan parmak ularm iti yeminle hesaplarma gre u an bi ounuzun kalbini alm olmam lazm|OTHER
|user gkyzne bakmayanlarn kalbi daha cabuk kirlenir|OTHER
|bu devletin nnde sonunda yklmas kanlmaz daha dorusu eyaletler aynen sscb'deki gibi ayrr diye tahmin ediyorum zatene u anda sorsanz federal devletten kopacak eyaletler bile var|OTHER
|yp babamn ceketini aldim annem baban r diyo evladndan ok kocasn dnen bir kadn annem gibi kocam sevmek mi allahim nasip et|OTHER
|pek ok eyin bambaka olmasn isterdim |OTHER
|user user user user user user user user user analizin sonucunu bizimle de paylarsnz diyorum|OTHER
|anam yarn gndeririz para diyip telefonlarm amad bu dnyada kimseye gvenmeyeceksin aga|OTHER
|sen ne yumo bieysin acaba ekran mncrasm geldi bbmastopsocial bts user|OTHER
|mslm baba kutsaldr galatasarayl iin|OTHER
|oruluyum zaman gesin istiyorum ama haftasonu bitiyo onuda istemiyorum rabbimm|OTHER
|kendsne allah'tan rahmet kederl ales ve yakinlarina basalii ve sabirlar dlerz ankaraufukniversitesi|OTHER
|user mantkl bir bak as deneyeceim muhakkak bazen sz dinlemek ve denemek iyidir ve birey kaybettirmez bence|OTHER
|user gunaydn ne saglk kald ne huzur versinler artk yavrularmiz neden duymazdan grmezden geliyorlar adlimahkumkapsamleityasa bekliyoruz sabrla ama oda biyere kadar tkendik artk rabbim ilerine merhamet versin dmez kalkmaz bir allahtr bugulerde geer elbet|OTHER
|user syleyen arnewadan serhat deil mi|OTHER
|her otokraside olduu gibi rus otokrasisinde de klasik yolsuzluk ark ilemi ve bir batakla stad kurmular tabi stalingrad n her yan kutsal olunca baka yer bulamamlardr|OTHER
|severek ayrilalimmm aka hasret kalalmmm eer mutlu olursak yeniden ayrlalmmm|OTHER
|user zaman varsa oyun bitmemi demektir|OTHER
|hayatmda kimse olmamasnn hafiflii bunu o kadar zlemiim ki omuzlarm pyorum ikide bir|OTHER
|netlerin arttn grmek mi daha i ac yoksa senin gln grmek mi|OTHER
|bakanaffa yeil kyakt user user user user insanlar ceza evinde tuvalet nlerinde yatyo bu hi adil deil ceza evleri doldu tat artk af gerekli|OTHER
|bin odal saraym olsa'da tatile kamadm diye alasam ))))))))))|OTHER
|nnallahe hve'r rezzku z'l kuvveti'l metn phesiz ki rzklandran g ve kuvvet sahibi olan allah'tr  (zriyt suresi 58)|OTHER
|user user bitirmek iin kendimi en ok zorladm kitapt (|OTHER
|zamanda o n mirass yaplmaktadr okmeydanndadnmbalad|OTHER
|user dier penaltlarda paylap desene bunu|OTHER
|keske kedi olsaydim etrafta miyav miyav diye gezerdim eski sevgili konusunda akil vermek zorunda kalmazdim miyav|OTHER
|imizdeki herkese bu lke iin bakan recep tayyip erdoann akndan ve azminden diliyorum bu lke her eye ramen aha kalkacak biliyorum!|OTHER
|user herkes  kendine gre gryor ben orada k mk grmedim|OTHER
|user hesaplama yntemi veya mantg nedir hocam|OTHER
|hayatma dair hep yanl kararlar veriyorum|OTHER
|user user yi sallamsnz bugn balayacak hangi memur bu paray alyormu bilmeyenleri kandrrsnz ancak yaptnz hesaplama emekli olmak zere olan e ve ocuk yardm alan ocak ay maa|OTHER
|pencereden olgun bir beyefendiye kur yapmak wuuu yeminle ayaklarm titriyor heyecandan|OTHER
|user var evet nk biz muhteem insanlarz|OTHER
|user user doru sylyorsunuz recep bey katlyorum size sevgi ve sayglarmla|OTHER
|sanrm bu kez the end yaa|OTHER
|uyann arkadam ma var bugn !!|OTHER
|user cneyt bey ben eminim artk ekonomik sorunlar siyasi sorunlarn ardnda saklanyor devekuu kum misali yalnz yaznz okurken bilirkii gibi bahsettiiniz fon yneticisi yerine sizin unlar bunlar olacak diyerek daha ok ses getirmenizi istiyorum basit bir vatanda olarak|OTHER
|user sosyal hayat benden uzaklamyor istesem bile ) anladm seni kuzum kna edebildiim kadar mutluyum ve paylayorum|OTHER
|allahm biri bana sweatshirt hediye etsin amin |OTHER
|ilim yolunda leceim ha imdi urackta alma masamnn stnde|OTHER
|user almanya'da japonya'da byle bir merak yok onlar beyin kalitesine bakyor bizde genlik lay lay lom|OTHER
|kadir gecesi haricinde kandil kutlamak gzel bir gelenekte o dstura gre yaayan deiliz yapmack oluyor yani|OTHER
|user yalnzlkbu dnyann en eski asaletidir|OTHER
|user user user bu saydklarnz sosyal devlet yapmakla ykml zaten yapmak zorunda ki ounuda yapmyor benden alyor sana veriyor sen zengingen daha zengin ben fakirken daha fakir olay bu kendiliinizden yaptnz bir yardm varm acaba eyt|OTHER
|user kendilerini sleymanc olarak atfeden fatihalar tecvid bahanesiyle yanl okuyan imamlar denetlensin bunlar hangi d gler ynetiyor aratrlsn|OTHER
|artk hayata kar inancm kaybetmi bulunmaktaym k a n d  r  l d  k|OTHER
|twitter yznden hep yemeimin dibi tutuyo aksjdhshh|OTHER
|user evladmz eimiz hapse girmrsin diye analar baclar yeni eler tm aile seferber olmu baka bir kadnn nafakasn temin etmeye alyor ki o ana belki yemeyip yedirip giymeyip giydirip o evlad o gne getirdi bir gn olsun o elin kadnnn yedii gibi maan yemedi|OTHER
|user grsel hafza ile ilgili herhalde|OTHER
|user orta snf delinen burjuvadr diyarbakrda burjuva var m yok bu orta snf falan deil krt hamiyetine sahip bir kitle var ve bu gzard ediliyor|OTHER
|yanl dorusu eksii fazlasyla kaldn iimde boverdim akm yemin ettim deiemem beni anla|OTHER
|user babu ayr ama herkes onun haham olduunu bilir ve hani derlerya yahudi gibi dzgn ticaret yapmak hahhh ite kimse onlara uyanklk yapamaz fiyatna kimse itiraz etmez|OTHER
|en kt gn bugnse bugn de bekta hedef16kenetlenbeiktal|OTHER
|user hastaneye emniyette deil bu saatten sonra|OTHER
|suratima maya maskesi yaptim ekmek gibi dolasiyorum ya|OTHER
|hayatmn en az alt ayn japonya'nn bir kynde geirmek istiyorum bol iekli bir ky olmas kriterler arasnda yksek tepelere trmanmak gelenek ve kadim bilgilerini renmek bir iki japon arkada edinmek|OTHER
|user leykm selam ve rahmetullahi ve berekatuhu hayrl akamlar olsun|OTHER
|user hocam bo kaleye ataym ben pas ) yumurtaya deil tavua yatrm yapmak varm|OTHER
|hi kimseyi yalan sylediini anlayacak kadar tanmak istemiyorum|OTHER
|user user 10 parman 10 u da bir deildir bunuda unutma|OTHER
|ayrica anpanman ben ldrd go go aliyor uan mkemmeld|OTHER
|temmuz gelsin bari mq dnyas|OTHER
|thehandsmaidstale sen kadar srkleyici ve bir o kadar da sinir sistemimi alt st eden bir dizi yok ! seni seviyor muyum nefret mi ediyorum bilmiyorum!|OTHER
|ciddi ciddi yeni ark salyorlar aliycam bigplans|OTHER
|user 1 yl boyunca maa almasnlar madem devlette para yok zenginler nasl olsa ben hi fakir fukara bir bakan milletvekili ile karlamadm|OTHER
|ronaldo juventus'a gitmi dnya futbol tarihi bu kadar ahmaka bir tercihe ayn zamanda bu kadar da byk bir meydan okumaya ahit olmamtr|OTHER
|user user her eride bir hayr vardr dediklerinin tezahurm gerekleecek acaba|OTHER
|gnaydn bugn yine iyiki galatasaraylym diyerek uyandm mutluyum|OTHER
|yi ile ktnn mcadelesi hi bir zaman bitmeyecektir eer birgn bittiini grrseniz bilin ki kyamet kopmutur bu bilinle hareket etmeli zafer odakl deil sefer odakl planlar yaplmal biz allah'tan neticenin deil emeimizin karln alacaz|OTHER
|efendi ve iyi bir insan olmak hibir zaman prim etmedi iyiler hep kaybeder|OTHER
|hi hak etmediimiz eyleri yaattlar affedene yazklar olsun|OTHER
|da nmzdeki dnemde byk alt styap projeleri olacan duyurdu bakan user firmalar da kara yolu metro ynlnblr enerji tarm gibi ok sektrde baarl projelere imza att nmzdeki dnemin ilikilerinde dnm noktas olabileceine inanyorum|OTHER
|burada yenersek istanbulda kan kustururuz|OTHER
|user her trl imtihana hazrm da rabbim bizi evlatlarmzla snamasn abim ok ar|OTHER
|telefonumda ifre var ama ifreyi herkes biliyor ok sama|OTHER
|hayat bu yakn sandnla arana yzyllarca mesafe koyar uzak grdnle aranda bir nefeslik an var hi bir ehir uzak deil anlamayan birine ulamak kadar ve hi bir yer yakn deil anlk bir lm kadar|OTHER
|bir insan uyurken nasl trnan krabilir aklayn bana ya|OTHER
|not kimseye kendinize verdiiniz deerden daha fazla deer vermeyin|OTHER
|tan stnde uyuyacaksn deseler niye diye sorgulamadan direk kvrlr yatarmm|OTHER
|user ben katlmyorum ali ko daha dzgn daha zengin daha gen daha yakkl olabilir ama aziz yldrm kriz ortamn ve daha kt durumlar da daha zeki ve daha tecrbeli bence mdr|OTHER
|sen artk hepmzn ba tacsn|OTHER
|user hayirli sabahlar olsn inallah cumlemize|OTHER
|nsan derdine kadar koyarmu raky yoksq annnz bir duble raknn azndaaa kk kk gzyalar brakn masann bir kenarna|OTHER
|sen zmirdeli kar ankaradaki denizsin bana yoksun! ama olsan ok gzel olursun|OTHER
|user gzel ama mr ksa nadir ans getiren ve ok ift deil|OTHER
|dnyada ne ok ac var hepsini hissediyorum bazen glmeye utandm zamanlar var|OTHER
|canm ok zlyorm sana beni zorla kaybettiin iin|OTHER
|besiktas bayern manda o ilk gol ofsayt deil miydi  o gol olmasa krmz grmeseydik ne olurdu |OTHER
|user user sen kimin yannda olduunu hangi dayanaklara gre biliyorsun|OTHER
|ben kadn deil miyim lan yok bende yokkk|OTHER
|user user user user halkmz bilmeli ki sinop' ta kesilen aalar yalnz sinop'un deil tm lkenin karadenizimiz yeillii havas suyu gzelliimiz cierimiz vatanmz bugn cebine aldn 3 5 kurua bunlar deiirsen yarn torunlarn orada nefes alamayacak|OTHER
|rahat brakn be artk u adam|OTHER
|dnyadaki tm ktler birlese zarar veremez sana yi bildiin insanlar kadar iyigeceler|OTHER
|ulan var ya hibir ey hissetmediimi hissediyorum bu aralar|OTHER
|sevgisiz olun ama saygsz olmayn kldarolu'na ehit cenazesinde saldr knyoruz|OTHER
|yi geceler zntnn arkasndan gelen sayn sevin kendi kendine alamay nasl da bilir|OTHER
|user szntutfakbaba oyalama siyaseti yapmaktan bkmadnz m aylardr ldk bittik yapmayacanz szler neden verirsiniz bugne kadar atama olacak deyip yapmayan kimse olmad sizden baka atama olmas zerre umrunuzda deil nasl olsa sizin koltuk imdilik salam adalet mi bu|OTHER
|user user oaman benim adm kaynana ben bozarm ndjdjfjfj|OTHER
|user gzel bi laf gibi ama anlamadm|OTHER
|user tu pir hr  kr diaxiv ez ji te fm nakim a ba em xatir ji hev bixwazin )|OTHER
|user hocam kusura bakma gldm ama ok komik bir zincirleme olmu neyse gemi olsun diyelim|OTHER
|user sen bunu farknda bile olmadan srekli yapyorsun canmn ii|OTHER
|her tweet'e yorum yapyorum nk sklyorum mesaj atn diye dedim kzlar bende grld yeme fobisi var|OTHER
|biliyorsunuz ki geen sefer ok kk bir fark ile kaybetmitik ve bu sefer de alamazsak bu comeback iin pek bir ansmz kalmayacak daha ltfen birka dakikanz ayrp oy verin|OTHER
|user tamam be sezon bitti zaten artk edebiyat kasabilirim|OTHER
|her ma ayn terane hepsi de rakipler lehine bu ilk eyrek sonundaki basket faul nba'de bile almazlar tekrar sylyorum hakemlerin ii g dengesizliini ortadan kaldrmaya almak deil en acemisinden en kdemlisine hepsi ayn|OTHER
